grp,userid,take_exam,treatments_16,gender,pretest,posttest,exam,programme,lgain,pretest_binned,SC,F_m,CB_m,V_m,MAp_m,MAv_m,PAp_m,PAv_m,Mind_m,MindDom_m
GROUP162,noname160197,1,1,1,0,0.82,84,KON,0.82,1,0.75,0.71,0.33,0.94,0.7,0.25,0.64,0.56,0.28,0.63
GROUP162,noname160198,0,1,1,0.09,,-1,EST,,1,,0.67,0.7,0.67,0.83,0.83,0.83,0.83,0.4,0.46
GROUP162,noname160199,0,1,0,0.18,,-1,-OTHER-,,1,,0.58,0.45,0.6,0.78,0.25,0.56,0.5,0.55,0.67
GROUP162,noname160200,1,1,1,0.09,0.73,82,KON,0.7,1,0.66,0.33,0.35,0.57,0.5,0.75,0.42,0.5,0.4,0.47
GROUP162,noname160201,1,1,1,0,0.45,74,-OTHER-,0.45,1,0.55,0.59,0.5,0.7,0.5,0.42,0.11,0.11,0.35,0.37
GROUP162,noname160203,1,1,1,0,0.64,94,EST,0.64,1,0.7,0.63,0.88,0.84,0.78,0.75,0.89,0.83,0.33,0.6
GROUP162,noname160204,1,1,1,0.09,0.82,77,EST,0.8,1,0.5,0.5,0.48,0.64,0.62,0.59,0.53,0.5,0.1,0.07
GROUP162,noname160205,1,1,0,0.09,0.73,87,-OTHER-,0.7,1,0.66,0.46,0.6,0.67,0.81,0.79,0.17,0.48,0.93,1
GROUP162,noname160207,1,1,1,0.09,0.09,19,-OTHER-,0,1,0.5,0.09,0.15,0.2,0.36,0.33,0.42,0.73,0.08,0.13
GROUP162,noname160208,1,1,0,0,0.82,75,-OTHER-,0.82,1,0.8,0.42,0.6,0.7,0.39,0.34,0.59,1,-0.65,0.34
GROUP162,noname160209,1,1,1,0,0.64,86,-OTHER-,0.64,1,0.66,0.42,0.5,0.53,0.42,0.38,0.33,0.39,0.28,0.3
GROUP162,noname160210,1,1,0,0.09,0.73,88,BIO,0.7,1,0.39,0.63,0.5,0.64,0.73,0.5,0.44,0.42,0.2,0.37
GROUP162,noname160212,1,1,1,0.09,0.36,23,-OTHER-,0.3,1,0.73,0.58,0.58,0.67,0.64,0.59,0.5,0.5,0.2,0.3
GROUP162,noname160214,1,1,1,0.09,0.64,77,KON,0.6,1,0.7,0.5,0.45,0.73,0.39,0.59,0.61,0.62,0.15,0.5
GROUP162,noname160215,1,1,1,0,,62,KON,,1,,0.58,0.7,0.73,0.89,1,0.89,0.56,0.8,0.87
GROUP162,noname160216,1,1,1,0.09,0.09,60,KON,0,1,,0.33,0.2,0.53,0.56,0.67,0.5,0.67,0.4,0.2
GROUP162,noname160218,1,1,1,0.09,0.91,94,EST,0.9,1,0.73,0.79,0.73,0.93,0.67,0.63,0.56,0.75,0.05,0.2
GROUP162,noname160219,0,1,0,0,,-1,ENE,,1,,0.75,0.4,0.93,0.89,0.83,0.5,0.5,0.25,0.47
GROUP162,noname160220,1,1,1,0.18,0.73,89,-OTHER-,0.67,1,0.55,0.5,0.68,0.57,0.61,0.25,0.58,0.56,0.15,0.27
GROUP162,noname160221,1,1,1,0.09,0.73,86,KON,0.7,1,0.52,0.5,0.55,0.6,0.67,0.38,0.48,0.42,0.25,0.27
GROUP162,noname160222,1,1,1,0.09,,41,-OTHER-,,1,,0.58,0.65,0.8,0.89,0.83,0.89,1,0.55,0.8
GROUP162,noname160223,0,1,1,0.18,,-1,-OTHER-,,1,,0.58,0.65,0.67,0.78,0.67,0.28,0.39,0.7,1
GROUP162,noname160225,1,1,1,0.18,0.73,99,-OTHER-,0.67,1,0.55,0.71,0.85,0.73,0.89,0.88,0.7,0.53,0.55,0.9
GROUP162,noname160227,0,1,1,0.18,,-1,-OTHER-,,1,,0.58,0.05,0.6,0.5,0.42,0.28,0.5,-0.5,-0.13
GROUP162,noname160229,0,1,0,0.09,,-1,KEM,,1,,0.42,0.1,0.6,0.44,0.5,0.22,0.39,0.1,0
GROUP162,noname160231,0,1,0,0,,-1,KTA,,1,,0.5,0.1,0.6,0.44,0.08,0.44,0.44,-0.05,0.6
GROUP162,noname160232,1,1,1,0,,32,KON,,1,,0.33,0.5,0.47,0.5,0.67,0.67,0.72,0.1,0.54
GROUP162,noname160233,1,1,1,0,,75,KEM,,1,,0.67,0.55,0.6,0.83,0.83,0.78,0.83,0.05,0
GROUP162,noname160234,0,1,1,0.09,,-1,-OTHER-,,1,,0.58,0.4,0.8,0.78,0.83,0.61,0.5,0.35,0.66
GROUP162,noname160235,1,1,1,0.18,0.73,60,-OTHER-,0.67,1,0.34,0.29,0.4,0.53,0.7,0.5,0.06,0.09,-0.18,0.54
GROUP162,noname160237,0,1,1,0.09,,-1,KON,,1,,0.5,0.5,0.8,0.5,0.5,0.5,0.5,-1,0.87
GROUP162,noname160244,0,1,,0,,-1,ENE,,1,,,,,,,,,,
